Competition,Team Number,Team Name,Match Number,Upper Scored,Middle Scored,Lower Scored,Total Points,Auto Points
Rocket City Regional,4141,Monarch Robotics,22,3,0,1,18,6
Rocket City Regional,2485,W.A.R. Lords,22,5,2,0,32,6
Rocket City Regional,2543,TitanBot,22,3,1,0,18,0
Rocket City Regional,7589,Lishan Blue Magpie,22,1,0,0,5,0
Rocket City Regional,812,The Midnight Mechanics,22,0,0,0,0,0
Rocket City Regional,6885,The Pilots,21,0,0,0,0,0
Rocket City Regional,599,The Robodox,23,5,1,2,33,6
Rocket City Regional,3704,3704,23,0,0,0,0,0
Rocket City Regional,5285,Y,23,1,0,1,7,0
Rocket City Regional,2839,Daedalus,23,0,1,4,12,4
Rocket City Regional,3341,Option 16,23,1,0,2,9,0
Rocket City Regional,702,Bagel Bytes,24,0,0,2,5,3
Rocket City Regional,2102,Team Paradox,24,2,0,2,14,0
Rocket City Regional,2984,Vikings Robotics,26,0,0,2,4,0
Rocket City Regional,4160,The RoBucs,24,0,0,0,0,0
Rocket City Regional,2658,E-Motion,24,0,0,3,6,0
Rocket City Regional,8020,CyberpunK,25,4,1,0,23,0
Rocket City Regional,1538,The Holy Cows,25,5,2,2,36,4
Rocket City Regional,8119,TigerBotics,25,1,0,0,5,0
Rocket City Regional,3749,Team Optix,25,0,2,2,10,0
Rocket City Regional,6695,Alpha Knights,26,0,0,0,0,0
Rocket City Regional,4919,Team Ronin,26,0,0,4,8,0
Rocket City Regional,973,Greybots,26,3,3,3,31,6
Rocket City Regional,3965,Sultans,25,3,0,0,16,6
Rocket City Regional,4322,Clockwork Oranges,26,4,0,3,27,6
Rocket City Regional,589,Falkon Robotics,23,0,1,0,4,4
Rocket City Regional,8870,RedCards,24,0,0,0,0,0
Rocket City Regional,4276,Surf City Vikings,25,0,1,0,4,4
Rocket City Regional,1266,The Devil Duckies,26,0,1,3,9,0
Rocket City Regional,3255,SuperNURDs,27,4,1,3,29,0
Rocket City Regional,1572,The Hammer Heads,27,0,2,3,12,0
Rocket City Regional,6995,NOMAD,27,5,0,1,33,33
Rocket City Regional,5993,IRS,27,1,1,0,9,6
Rocket City Regional,4419,Team Rewind,27,2,2,1,18,0
Rocket City Regional,2827,Crown City Robotics,27,0,0,0,0,0
Rocket City Regional,7589,Lishan Blue Magpie,28,0,0,2,4,0
Rocket City Regional,528,Team does not exist,28,1,0,2,9,0
Rocket City Regional,589,Falkon Robotics,42,0,1,0,4,4
Rocket City Regional,6515,Unimatics,28,0,0,2,5,3
Rocket City Regional,6885,The Pilots,28,0,0,0,0,0
Rocket City Regional,3218,Panther Robotics,28,0,0,9,19,3
Rocket City Regional,2839,Daedalus,42,1,0,3,11,0
Rocket City Regional,6560,Charging Champions,29,5,0,2,31,12
Rocket City Regional,1622,Team Spyder,29,3,0,2,20,6
Rocket City Regional,5474,Clairemonster,29,0,0,0,0,0
Rocket City Regional,4141,Monarch Robotics,29,0,0,6,12,0
Rocket City Regional,6417,Fridolins,29,1,0,2,10,6
Rocket City Regional,8891,Wild Raccoons,30,0,0,1,3,3
Rocket City Regional,2543,TitanBot,30,1,0,2,10,3
Rocket City Regional,8119,TigerBotics,30,0,0,3,6,0
Rocket City Regional,3473,Team Sprocket,30,3,0,5,33,33
Rocket City Regional,8006,The Phantoms,30,0,0,0,0,0
Rocket City Regional,2102,Team Paradox,30,1,0,1,7,0
Rocket City Regional,8537,MechanicAnts,31,0,0,2,6,6
Rocket City Regional,1538,The Holy Cows,31,3,4,2,31,0
Rocket City Regional,3341,Option 16,31,1,0,1,7,0
Rocket City Regional,2658,E-Motion,31,0,0,0,0,0
Rocket City Regional,5025,Pacific Steel ,31,0,0,1,3,3
Rocket City Regional,8870,RedCards,32,0,0,0,0,0
Rocket City Regional,3647,Millennium Falcons,32,8,0,0,41,6
Rocket City Regional,4738,Patribots,32,4,2,1,29,6
Rocket City Regional,812,The Midnight Mechanics,32,0,0,0,0,0
Rocket City Regional,4984,Bullseye,33,0,0,3,7,3
Rocket City Regional,3749,Team Optix,33,0,0,1,3,3
Rocket City Regional,2984,Vikings Robotics,33,0,0,2,5,3
Rocket City Regional,599,The Robodox,33,6,0,1,33,6
Rocket City Regional,1972,Searing Engineering,33,0,0,0,0,0
Rocket City Regional,702,Bagel Bytes,34,0,2,1,8,0
Rocket City Regional,6695,Alpha Knights,34,0,0,1,2,0
Rocket City Regional,6995,NOMAD,34,4,0,1,23,3
Rocket City Regional,6515,Unimatics,34,0,0,1,2,0
Rocket City Regional,2485,W.A.R. Lords,34,4,0,1,24,9
Rocket City Regional,6417,Fridolins,35,0,0,4,8,0
Rocket City Regional,3965,Sultans,35,0,0,0,0,0
Rocket City Regional,5285,Y,35,3,2,0,22,6
Rocket City Regional,4419,Team Rewind,35,1,2,2,16,3
Rocket City Regional,8119,TigerBotics,35,2,0,1,12,0
Rocket City Regional,6885,The Pilots,35,0,0,2,4,0
Rocket City Regional,3341,Option 16,35,1,0,1,8,6
Rocket City Regional,8891,Wild Raccoons,36,0,0,2,5,3
Rocket City Regional,2102,Team Paradox,36,0,1,3,10,4
Rocket City Regional,2839,Daedalus,36,3,0,3,21,0
Rocket City Regional,1538,The Holy Cows,36,0,7,2,27,8
Rocket City Regional,1266,The Devil Duckies,36,0,0,4,8,0
Rocket City Regional,8020,CyberpunK,36,3,0,3,21,0
Rocket City Regional,973,Greybots,37,4,2,3,32,0
Rocket City Regional,3128,The Aluminum Narwhals,37,0,0,5,10,0
Rocket City Regional,2827,Crown City Robotics,37,0,0,0,0,0
Rocket City Regional,2543,TitanBot,37,3,0,2,20,6
Rocket City Regional,599,The Robodox,38,5,2,2,36,6
